Version=0.9
1,15,2,1,0=10001
1,15,2,1,2=12501
1,15,2,1,4=1875
1,15,2,1,54=188750
1,15,2,1,24=66250
1,15,2,1,63=533750
1,15,2,1,66=5625
1,15,2,1,67=28127
1,15,2,1,76=63125
1,15,2,1,77=75625
1,15,2,1,5=2500
1,15,2,13,2=135013
1,15,2,1,28=35628
1,15,2,1,29=66256
1,15,2,1,30=66881
1,15,2,1,33=28125
1,15,2,1,34=85008
1,15,2,1,32=94384
1,15,2,1,31=68131
1,15,2,0,2=1013851
1,15,2,13,72=1672667
1,15,2,13,73=50630
1,15,2,1,27=22502
1,15,2,13,76=160641
1,15,2,13,78=361911
1,15,2,13,79=107510
1,15,2,13,4=99384
1,15,2,1,17=3750
1,15,2,1,19=1875
1,15,2,1,18=259400
1,15,2,1,6=1875
1,15,2,1,7=3750
1,15,2,1,8=135013
1,15,2,1,9=2500
1,15,2,1,10=1875
1,15,2,1,11=293779
1,15,2,1,23=2500
1,15,2,1,12=297529
1,15,2,13,3=1875
1,15,2,13,8=260026
1,15,2,13,9=1875
1,15,2,13,10=1343259
1,15,2,1,20=3750
1,15,2,1,21=1875
1,15,2,1,22=1875
1,15,2,1,13=3125
1,15,2,0,3=325032
1,15,2,0,5=496924
1,15,2,13,43=406915
1,15,2,1,40=319375
1,15,2,13,44=107510
1,15,2,1,41=53750
1,15,2,13,45=80633
1,15,2,1,36=178767
1,15,2,1,42=311281
1,15,2,13,46=1875
1,15,2,1,43=422542
1,15,2,13,67=322532
1,15,2,13,68=176267
1,15,2,13,47=220647
1,15,2,1,46=3125
1,15,2,1,48=141889
1,15,2,1,49=3750
1,15,2,1,50=163141
1,15,2,13,49=402540
1,15,2,1,51=1875
1,15,2,1,52=1875
1,15,2,13,65=393789
1,15,2,1,37=1250
1,15,2,1,38=1875
1,15,2,13,63=613186
1,15,2,13,66=91884
1,15,2,1,53=370625
1,15,2,13,53=157531
1,15,2,13,42=228147
1,15,2,1,39=1875
1,15,2,13,59=796954
1,15,2,1,16=1875
1,15,2,0,4=318781
1,15,2,13,60=1305130
1,15,2,13,61=823207
1,15,2,13,62=796329
1,15,2,13,11=1250
1,15,2,0,1=3484098
